previousids	refseqids
Tc00.1047053509233.160	XP_817832
Tc00.1047053467287.10	XP_804396
Tc00.1047053507763.30	XP_803272
Tc00.1047053510101.490	XP_821257
Tc00.1047053508533.40	XP_809440
Tc00.1047053504105.210	XP_819707
Tc00.1047053506753.170	XP_815382
Tc00.1047053506297.260	XP_820210
Tc00.1047053510101.50	XP_821219
Tc00.1047053510357.70	XP_811857
Tc00.1047053511393.79	XP_808875
Tc00.1047053505071.119	XP_812879
Tc00.1047053506989.140	XP_818647
Tc00.1047053503811.60	XP_808453
Tc00.1047053511867.110	XP_814958
Tc00.1047053503697.90	XP_814861
Tc00.1047053506679.70	XP_820032
Tc00.1047053511585.190	XP_820378
Tc00.1047053508859.74	XP_812080
Tc00.1047053504103.6	XP_811877
Tc00.1047053508307.184	XP_817145
Tc00.1047053506753.120	XP_815377
Tc00.1047053510357.10	XP_811851
Tc00.1047053506211.10	XP_819445
Tc00.1047053511291.30	XP_811939
Tc00.1047053503971.40	XP_807040
Tc00.1047053510353.10	XP_805823
Tc00.1047053508269.30	XP_809913
Tc00.1047053506247.320	XP_820346
Tc00.1047053511287.49	XP_814362
Tc00.1047053508153.340	XP_822053
Tc00.1047053506795.80	XP_811287
Tc00.1047053508731.60	XP_806628
Tc00.1047053430737.10	XP_802288
Tc00.1047053509935.29	XP_803162
Tc00.1047053509683.80	XP_815340
Tc00.1047053508375.50	XP_809064
Tc00.1047053511881.30	XP_805589
Tc00.1047053506885.124	XP_821506
Tc00.1047053511285.50	XP_813753
Tc00.1047053504147.20	XP_819826
Tc00.1047053503635.59	XP_808675
Tc00.1047053503635.68	XP_808676
Tc00.1047053511001.9	XP_819645
Tc00.1047053511001.18	XP_819644
Tc00.1047053509453.60	XP_810370
Tc00.1047053509099.50	XP_816076
Tc00.1047053509319.90	XP_810600
Tc00.1047053503473.20	XP_803313
Tc00.1047053506743.170	XP_816349
Tc00.1047053508445.90	XP_809298
Tc00.1047053511715.90	XP_809558
Tc00.1047053508741.100	XP_821044
Tc00.1047053511685.50	XP_807374
Tc00.1047053508741.140	XP_821047
Tc00.1047053509137.30	XP_806241
Tc00.1047053506145.20	XP_811325
Tc00.1047053509231.39	XP_807977
Tc00.1047053509719.69	XP_810352
Tc00.1047053504001.20	XP_806326
Tc00.1047053504089.70	XP_812661
Tc00.1047053503999.50	XP_813438
Tc00.1047053509591.10	XP_809137
Tc00.1047053504069.30	XP_811507
Tc00.1047053511145.20	XP_808221
Tc00.1047053504797.14	XP_814381
Tc00.1047053511577.104	XP_815435
Tc00.1047053503885.70	XP_809305
Tc00.1047053511903.270	XP_817941
Tc00.1047053504179.20	XP_808522
Tc00.1047053507825.10	XP_805563
Tc00.1047053509065.60	XP_813795
Tc00.1047053509065.70	XP_813796
Tc00.1047053506573.81	XP_808953
Tc00.1047053511217.145	XP_818343
Tc00.1047053505023.40	XP_804500
Tc00.1047053507437.10	XP_804610
Tc00.1047053511621.200	XP_817561
Tc00.1047053511621.70	XP_817548
Tc00.1047053507941.150	XP_812825
Tc00.1047053507941.160	XP_812826
Tc00.1047053507941.170	XP_812827
Tc00.1047053508203.20	XP_802979
Tc00.1047053508203.29	XP_802981
Tc00.1047053508203.38	XP_802982
Tc00.1047053508203.47	XP_802983
Tc00.1047053508203.56	XP_802980
Tc00.1047053510351.11	XP_810852
Tc00.1047053510351.20	XP_810838
Tc00.1047053510351.31	XP_810851
Tc00.1047053507047.120	XP_816379
Tc00.1047053509179.140	XP_816449
Tc00.1047053503613.20	XP_807203
Tc00.1047053511165.70	XP_809596
Tc00.1047053507811.60	XP_812489
Tc00.1047053511649.130	XP_815061
Tc00.1047053508409.270	XP_818826
Tc00.1047053510143.80	XP_811485
Tc00.1047053510719.30	XP_819182
Tc00.1047053510719.35	XP_819211
Tc00.1047053505993.30	XP_807842
Tc00.1047053507555.50	XP_809739
Tc00.1047053504021.109	XP_815622
Tc00.1047053507677.39	XP_816670
Tc00.1047053509353.30	XP_806547
Tc00.1047053506983.39	XP_807299
Tc00.1047053506983.48	XP_807300
Tc00.1047053503505.10	XP_804322
Tc00.1047053510267.20	XP_804185
Tc00.1047053511635.30	XP_805386
Tc00.1047053507013.30	XP_805219
Tc00.1047053510659.100	XP_818448
Tc00.1047053508209.100	XP_813063
Tc00.1047053508209.90	XP_813062
Tc00.1047053509505.30	XP_807701
Tc00.1047053509505.70	XP_807705
Tc00.1047053507005.70	XP_808656
Tc00.1047053507011.50	XP_817949
Tc00.1047053507255.63	XP_808584
Tc00.1047053508805.136	XP_809589
Tc00.1047053509127.104	XP_810627
Tc00.1047053507357.140	XP_812245
Tc00.1047053507357.50	XP_812239
Tc00.1047053503625.10	XP_804776
Tc00.1047053503899.90	XP_812804
Tc00.1047053504011.70	XP_806633
Tc00.1047053511049.30	XP_805514
Tc00.1047053506491.10	XP_808186
Tc00.1047053510247.20	XP_804790
Tc00.1047053506041.20	XP_807252
Tc00.1047053508267.30	XP_805947
Tc00.1047053508267.50	XP_805949
Tc00.1047053506517.149	XP_812363
Tc00.1047053508909.214	XP_820525
Tc00.1047053510121.30	XP_816464
Tc00.1047053509645.10	XP_804749
Tc00.1047053509733.190	XP_818680
Tc00.1047053504741.149	XP_817797
Tc00.1047053509317.29	XP_809196
Tc00.1047053506469.30	XP_810989
Tc00.1047053506469.80	XP_810994
Tc00.1047053506147.220	XP_817607
Tc00.1047053510733.20	XP_809144
Tc00.1047053506423.20	XP_803191
Tc00.1047053510621.70	XP_809169
Tc00.1047053487507.10	XP_802393
Tc00.1047053505983.9	XP_806218
Tc00.1047053509445.10	XP_804571
Tc00.1047053508677.80	XP_812754
Tc00.1047053509331.210	XP_816787
Tc00.1047053511313.30	XP_808355
Tc00.1047053506859.249	XP_818375
Tc00.1047053511817.30	XP_819350
Tc00.1047053504141.20	XP_802868
Tc00.1047053509777.80	XP_814229
Tc00.1047053508293.90	XP_815159
Tc00.1047053510625.140	XP_819535
Tc00.1047053507949.29	XP_817171
Tc00.1047053511423.149	XP_813490
Tc00.1047053509177.59	XP_806945
Tc00.1047053511303.64	XP_817369
Tc00.1047053508445.80	XP_809297
Tc00.1047053511715.80	XP_809557
Tc00.1047053503919.20	XP_808604
Tc00.1047053508209.50	XP_813058
Tc00.1047053503891.54	XP_809753
Tc00.1047053510289.6	XP_809689
Tc00.1047053507873.60	XP_806120
Tc00.1047053510691.10	XP_808258
Tc00.1047053511047.50	XP_807823
Tc00.1047053511859.180	XP_815312
Tc00.1047053506661.150	XP_813984
Tc00.1047053511245.20	XP_818051
Tc00.1047053506779.50	XP_815536
Tc00.1047053511153.140	XP_813770
Tc00.1047053507019.83	XP_811258
Tc00.1047053507019.86	XP_811259
Tc00.1047053507145.79	XP_808215
Tc00.1047053507145.88	XP_808214
Tc00.1047053507217.14	XP_808982
