id	previousid
TcCLB.397923.10	Tc00.1047053397923.10
TcCLB.397937.10	Tc00.1047053397937.10
TcCLB.397937.5	Tc00.1047053397937.5
TcCLB.398009.10	Tc00.1047053398009.10
TcCLB.398009.20	Tc00.1047053398009.20
TcCLB.398061.10	Tc00.1047053398061.10
TcCLB.398061.20	Tc00.1047053398061.20
TcCLB.398099.10	Tc00.1047053398099.10
TcCLB.398235.10	Tc00.1047053398235.10
TcCLB.398235.20	Tc00.1047053398235.20
TcCLB.398265.9	Tc00.1047053398265.9
TcCLB.398343.9	Tc00.1047053398343.9
TcCLB.398345.10	Tc00.1047053398345.10
TcCLB.398477.10	Tc00.1047053398477.10
TcCLB.398551.10	Tc00.1047053398551.10
TcCLB.398551.20	Tc00.1047053398551.20
TcCLB.398551.30	Tc00.1047053398551.30
TcCLB.398727.10	Tc00.1047053398727.10
TcCLB.398727.20	Tc00.1047053398727.20
TcCLB.398727.30	Tc00.1047053398727.30
TcCLB.398727.40	Tc00.1047053398727.40
TcCLB.398751.10	Tc00.1047053398751.10
TcCLB.398915.5	Tc00.1047053398915.5
TcCLB.399033.10	Tc00.1047053399033.10
TcCLB.399033.19	Tc00.1047053399033.19
TcCLB.399173.10	Tc00.1047053399173.10
TcCLB.399201.10	Tc00.1047053399201.10
TcCLB.399201.20	Tc00.1047053399201.20
TcCLB.399201.30	Tc00.1047053399201.30
TcCLB.399205.10	Tc00.1047053399205.10
TcCLB.399205.20	Tc00.1047053399205.20
TcCLB.399245.9	Tc00.1047053399245.9
TcCLB.399373.20	Tc00.1047053399373.20
TcCLB.399373.9	Tc00.1047053399373.9
TcCLB.399389.10	Tc00.1047053399389.10
TcCLB.399407.10	Tc00.1047053399407.10
TcCLB.399419.10	Tc00.1047053399419.10
TcCLB.399579.10	Tc00.1047053399579.10
TcCLB.399685.10	Tc00.1047053399685.10
TcCLB.399913.10	Tc00.1047053399913.10
TcCLB.399913.20	Tc00.1047053399913.20
TcCLB.399913.30	Tc00.1047053399913.30
TcCLB.399913.40	Tc00.1047053399913.40
TcCLB.399913.50	Tc00.1047053399913.50
TcCLB.399957.10	Tc00.1047053399957.10
TcCLB.399957.20	Tc00.1047053399957.20
TcCLB.399957.30	Tc00.1047053399957.30
TcCLB.399957.40	Tc00.1047053399957.40
TcCLB.399957.50	Tc00.1047053399957.50
TcCLB.399973.10	Tc00.1047053399973.10
TcCLB.399973.20	Tc00.1047053399973.20
TcCLB.399997.10	Tc00.1047053399997.10
TcCLB.400681.10	Tc00.1047053400681.10
TcCLB.400739.10	Tc00.1047053400739.10
TcCLB.400945.10	Tc00.1047053400945.10
TcCLB.401041.10	Tc00.1047053401041.10
TcCLB.401131.10	Tc00.1047053401131.10
TcCLB.401131.20	Tc00.1047053401131.20
TcCLB.401183.10	Tc00.1047053401183.10
TcCLB.401231.10	Tc00.1047053401231.10
TcCLB.401231.20	Tc00.1047053401231.20
TcCLB.401231.30	Tc00.1047053401231.30
TcCLB.401307.10	Tc00.1047053401307.10
TcCLB.401307.20	Tc00.1047053401307.20
TcCLB.401307.30	Tc00.1047053401307.30
TcCLB.401407.10	Tc00.1047053401407.10
TcCLB.401407.20	Tc00.1047053401407.20
TcCLB.401407.30	Tc00.1047053401407.30
TcCLB.401407.40	Tc00.1047053401407.40
TcCLB.401469.10	Tc00.1047053401469.10
TcCLB.401469.20	Tc00.1047053401469.20
TcCLB.401473.9	Tc00.1047053401473.9
TcCLB.401569.10	Tc00.1047053401569.10
TcCLB.401661.10	Tc00.1047053401661.10
TcCLB.401683.10	Tc00.1047053401683.10
TcCLB.401683.20	Tc00.1047053401683.20
TcCLB.401687.10	Tc00.1047053401687.10
TcCLB.401961.10	Tc00.1047053401961.10
TcCLB.402025.10	Tc00.1047053402025.10
TcCLB.402025.20	Tc00.1047053402025.20
TcCLB.402255.10	Tc00.1047053402255.10
TcCLB.402361.10	Tc00.1047053402361.10
TcCLB.402361.20	Tc00.1047053402361.20
TcCLB.402361.30	Tc00.1047053402361.30
TcCLB.402361.40	Tc00.1047053402361.40
TcCLB.402361.50	Tc00.1047053402361.50
TcCLB.402361.60	Tc00.1047053402361.60
TcCLB.402361.70	Tc00.1047053402361.70
TcCLB.402375.10	Tc00.1047053402375.10
TcCLB.402449.10	Tc00.1047053402449.10
TcCLB.402537.10	Tc00.1047053402537.10
TcCLB.402537.20	Tc00.1047053402537.20
TcCLB.402537.30	Tc00.1047053402537.30
TcCLB.402537.40	Tc00.1047053402537.40
TcCLB.402647.9	Tc00.1047053402647.9
TcCLB.402857.10	Tc00.1047053402857.10
TcCLB.402857.20	Tc00.1047053402857.20
TcCLB.402863.9	Tc00.1047053402863.9
TcCLB.402911.10	Tc00.1047053402911.10
TcCLB.402911.20	Tc00.1047053402911.20
TcCLB.402919.10	Tc00.1047053402919.10
TcCLB.403005.10	Tc00.1047053403005.10
TcCLB.403031.10	Tc00.1047053403031.10
TcCLB.403085.10	Tc00.1047053403085.10
TcCLB.403153.10	Tc00.1047053403153.10
TcCLB.403153.20	Tc00.1047053403153.20
TcCLB.403481.10	Tc00.1047053403481.10
TcCLB.403669.10	Tc00.1047053403669.10
TcCLB.403789.9	Tc00.1047053403789.9
TcCLB.403835.10	Tc00.1047053403835.10
TcCLB.403835.20	Tc00.1047053403835.20
TcCLB.403869.10	Tc00.1047053403869.10
TcCLB.403875.10	Tc00.1047053403875.10
TcCLB.403875.19	Tc00.1047053403875.19
TcCLB.403903.10	Tc00.1047053403903.10
TcCLB.403903.20	Tc00.1047053403903.20
TcCLB.403903.30	Tc00.1047053403903.30
TcCLB.403903.40	Tc00.1047053403903.40
TcCLB.403903.50	Tc00.1047053403903.50
TcCLB.403903.60	Tc00.1047053403903.60
TcCLB.403903.70	Tc00.1047053403903.70
TcCLB.403903.80	Tc00.1047053403903.80
TcCLB.403985.10	Tc00.1047053403985.10
TcCLB.404001.10	Tc00.1047053404001.10
TcCLB.404001.20	Tc00.1047053404001.20
TcCLB.404001.4	Tc00.1047053404001.4
TcCLB.404073.10	Tc00.1047053404073.10
TcCLB.404073.20	Tc00.1047053404073.20
TcCLB.404159.10	Tc00.1047053404159.10
TcCLB.404253.10	Tc00.1047053404253.10
TcCLB.404259.10	Tc00.1047053404259.10
TcCLB.404431.10	Tc00.1047053404431.10
TcCLB.404455.10	Tc00.1047053404455.10
TcCLB.404683.10	Tc00.1047053404683.10
TcCLB.404711.10	Tc00.1047053404711.10
TcCLB.404843.10	Tc00.1047053404843.10
TcCLB.404843.20	Tc00.1047053404843.20
TcCLB.404845.10	Tc00.1047053404845.10
TcCLB.404975.30	Tc00.1047053404975.30
TcCLB.405025.10	Tc00.1047053405025.10
TcCLB.405131.10	Tc00.1047053405131.10
TcCLB.405131.20	Tc00.1047053405131.20
TcCLB.405131.30	Tc00.1047053405131.30
TcCLB.405131.40	Tc00.1047053405131.40
TcCLB.405131.50	Tc00.1047053405131.50
TcCLB.405131.60	Tc00.1047053405131.60
TcCLB.405147.10	Tc00.1047053405147.10
TcCLB.405147.20	Tc00.1047053405147.20
TcCLB.405147.30	Tc00.1047053405147.30
TcCLB.405147.40	Tc00.1047053405147.40
TcCLB.405147.50	Tc00.1047053405147.50
TcCLB.405165.10	Tc00.1047053405165.10
TcCLB.405165.19	Tc00.1047053405165.19
TcCLB.405179.10	Tc00.1047053405179.10
TcCLB.405315.10	Tc00.1047053405315.10
TcCLB.405453.9	Tc00.1047053405453.9
TcCLB.405475.10	Tc00.1047053405475.10
TcCLB.405475.20	Tc00.1047053405475.20
TcCLB.405567.10	Tc00.1047053405567.10
TcCLB.405567.20	Tc00.1047053405567.20
TcCLB.405567.30	Tc00.1047053405567.30
TcCLB.405737.14	Tc00.1047053405737.14
TcCLB.405737.24	Tc00.1047053405737.24
TcCLB.405737.4	Tc00.1047053405737.4
TcCLB.406115.10	Tc00.1047053406115.10
TcCLB.406215.10	Tc00.1047053406215.10
TcCLB.406377.10	Tc00.1047053406377.10
TcCLB.406725.10	Tc00.1047053406725.10
TcCLB.406929.10	Tc00.1047053406929.10
TcCLB.406933.10	Tc00.1047053406933.10
TcCLB.406947.10	Tc00.1047053406947.10
TcCLB.406947.20	Tc00.1047053406947.20
TcCLB.406951.10	Tc00.1047053406951.10
TcCLB.406999.10	Tc00.1047053406999.10
TcCLB.407335.18	Tc00.1047053407335.18
TcCLB.407335.9	Tc00.1047053407335.9
TcCLB.407477.10	Tc00.1047053407477.10
TcCLB.407477.20	Tc00.1047053407477.20
TcCLB.407477.30	Tc00.1047053407477.30
TcCLB.407477.40	Tc00.1047053407477.40
TcCLB.407477.44	Tc00.1047053407477.44
TcCLB.407477.50	Tc00.1047053407477.50
TcCLB.407477.60	Tc00.1047053407477.60
TcCLB.407477.69	Tc00.1047053407477.69
TcCLB.407667.10	Tc00.1047053407667.10
TcCLB.407667.20	Tc00.1047053407667.20
TcCLB.407667.30	Tc00.1047053407667.30
TcCLB.407789.10	Tc00.1047053407789.10
TcCLB.407789.20	Tc00.1047053407789.20
TcCLB.407789.30	Tc00.1047053407789.30
TcCLB.407893.18	Tc00.1047053407893.18
TcCLB.407893.9	Tc00.1047053407893.9
TcCLB.408345.10	Tc00.1047053408345.10
TcCLB.408345.20	Tc00.1047053408345.20
TcCLB.408437.10	Tc00.1047053408437.10
TcCLB.408437.20	Tc00.1047053408437.20
TcCLB.408437.29	Tc00.1047053408437.29
TcCLB.408445.10	Tc00.1047053408445.10
TcCLB.408485.20	Tc00.1047053408485.20
TcCLB.408547.10	Tc00.1047053408547.10
TcCLB.408547.5	Tc00.1047053408547.5
TcCLB.408573.5	Tc00.1047053408573.5
TcCLB.408573.9	Tc00.1047053408573.9
TcCLB.408799.10	Tc00.1047053408799.10
TcCLB.408799.19	Tc00.1047053408799.19
TcCLB.408825.10	Tc00.1047053408825.10
TcCLB.408825.5	Tc00.1047053408825.5
TcCLB.408847.10	Tc00.1047053408847.10
TcCLB.408847.20	Tc00.1047053408847.20
TcCLB.408847.30	Tc00.1047053408847.30
TcCLB.408847.40	Tc00.1047053408847.40
TcCLB.409101.9	Tc00.1047053409101.9
TcCLB.409117.10	Tc00.1047053409117.10
TcCLB.409117.20	Tc00.1047053409117.20
TcCLB.409139.9	Tc00.1047053409139.9
TcCLB.409259.10	Tc00.1047053409259.10
TcCLB.409259.20	Tc00.1047053409259.20
TcCLB.409407.10	Tc00.1047053409407.10
TcCLB.409479.10	Tc00.1047053409479.10
TcCLB.409479.20	Tc00.1047053409479.20
TcCLB.409625.10	Tc00.1047053409625.10
TcCLB.409981.10	Tc00.1047053409981.10
TcCLB.409981.20	Tc00.1047053409981.20
TcCLB.409981.30	Tc00.1047053409981.30
TcCLB.409981.40	Tc00.1047053409981.40
TcCLB.410049.10	Tc00.1047053410049.10
TcCLB.410049.20	Tc00.1047053410049.20
TcCLB.410093.10	Tc00.1047053410093.10
TcCLB.410115.10	Tc00.1047053410115.10
TcCLB.410115.20	Tc00.1047053410115.20
TcCLB.410115.30	Tc00.1047053410115.30
TcCLB.410199.10	Tc00.1047053410199.10
TcCLB.410199.20	Tc00.1047053410199.20
TcCLB.410199.30	Tc00.1047053410199.30
TcCLB.410199.4	Tc00.1047053410199.4
TcCLB.410199.40	Tc00.1047053410199.40
TcCLB.410199.50	Tc00.1047053410199.50
TcCLB.410199.7	Tc00.1047053410199.7
TcCLB.410241.10	Tc00.1047053410241.10
TcCLB.410241.20	Tc00.1047053410241.20
TcCLB.410243.10	Tc00.1047053410243.10
TcCLB.410269.10	Tc00.1047053410269.10
TcCLB.410275.18	Tc00.1047053410275.18
TcCLB.410275.9	Tc00.1047053410275.9
TcCLB.410337.10	Tc00.1047053410337.10
TcCLB.410339.10	Tc00.1047053410339.10
TcCLB.410357.10	Tc00.1047053410357.10
TcCLB.410357.20	Tc00.1047053410357.20
TcCLB.410357.30	Tc00.1047053410357.30
TcCLB.410589.10	Tc00.1047053410589.10
TcCLB.410589.19	Tc00.1047053410589.19
TcCLB.410797.10	Tc00.1047053410797.10
TcCLB.410923.20	Tc00.1047053410923.20
TcCLB.410923.30	Tc00.1047053410923.30
TcCLB.410923.40	Tc00.1047053410923.40
TcCLB.410943.10	Tc00.1047053410943.10
TcCLB.410961.10	Tc00.1047053410961.10
TcCLB.411059.18	Tc00.1047053411059.18
TcCLB.411107.10	Tc00.1047053411107.10
TcCLB.411107.20	Tc00.1047053411107.20
TcCLB.411149.18	Tc00.1047053411149.18
TcCLB.411149.9	Tc00.1047053411149.9
TcCLB.411169.10	Tc00.1047053411169.10
TcCLB.411169.20	Tc00.1047053411169.20
TcCLB.411173.10	Tc00.1047053411173.10
TcCLB.411173.20	Tc00.1047053411173.20
TcCLB.411235.9	Tc00.1047053411235.9
TcCLB.411337.10	Tc00.1047053411337.10
TcCLB.411383.10	Tc00.1047053411383.10
TcCLB.411427.10	Tc00.1047053411427.10
TcCLB.411427.30	Tc00.1047053411427.30
TcCLB.411427.40	Tc00.1047053411427.40
TcCLB.411427.49	Tc00.1047053411427.49
TcCLB.411483.10	Tc00.1047053411483.10
TcCLB.411483.20	Tc00.1047053411483.20
TcCLB.411483.30	Tc00.1047053411483.30
TcCLB.411489.10	Tc00.1047053411489.10
TcCLB.411489.20	Tc00.1047053411489.20
TcCLB.411489.30	Tc00.1047053411489.30
TcCLB.411489.40	Tc00.1047053411489.40
TcCLB.411489.50	Tc00.1047053411489.50
TcCLB.411489.60	Tc00.1047053411489.60
TcCLB.411489.70	Tc00.1047053411489.70
TcCLB.411527.10	Tc00.1047053411527.10
TcCLB.411527.20	Tc00.1047053411527.20
TcCLB.411553.10	Tc00.1047053411553.10
TcCLB.411553.20	Tc00.1047053411553.20
TcCLB.411911.10	Tc00.1047053411911.10
TcCLB.411911.20	Tc00.1047053411911.20
TcCLB.411911.30	Tc00.1047053411911.30
TcCLB.411915.10	Tc00.1047053411915.10
TcCLB.412093.10	Tc00.1047053412093.10
TcCLB.412393.10	Tc00.1047053412393.10
TcCLB.412419.10	Tc00.1047053412419.10
TcCLB.412435.10	Tc00.1047053412435.10
TcCLB.412509.10	Tc00.1047053412509.10
TcCLB.412723.9	Tc00.1047053412723.9
TcCLB.412781.10	Tc00.1047053412781.10
TcCLB.412781.20	Tc00.1047053412781.20
TcCLB.412781.30	Tc00.1047053412781.30
TcCLB.412943.9	Tc00.1047053412943.9
TcCLB.413133.10	Tc00.1047053413133.10
TcCLB.413177.10	Tc00.1047053413177.10
TcCLB.413177.20	Tc00.1047053413177.20
TcCLB.413177.30	Tc00.1047053413177.30
TcCLB.413253.10	Tc00.1047053413253.10
TcCLB.413253.20	Tc00.1047053413253.20
TcCLB.413293.20	Tc00.1047053413293.20
TcCLB.413293.30	Tc00.1047053413293.30
TcCLB.413293.9	Tc00.1047053413293.9
TcCLB.413389.10	Tc00.1047053413389.10
TcCLB.413389.20	Tc00.1047053413389.20
TcCLB.413389.30	Tc00.1047053413389.30
TcCLB.413389.40	Tc00.1047053413389.40
TcCLB.413409.10	Tc00.1047053413409.10
TcCLB.413439.10	Tc00.1047053413439.10
TcCLB.413489.10	Tc00.1047053413489.10
TcCLB.413605.10	Tc00.1047053413605.10
TcCLB.413703.10	Tc00.1047053413703.10
TcCLB.413703.20	Tc00.1047053413703.20
TcCLB.413813.10	Tc00.1047053413813.10
TcCLB.413813.20	Tc00.1047053413813.20
TcCLB.413841.10	Tc00.1047053413841.10
TcCLB.413841.20	Tc00.1047053413841.20
TcCLB.413859.10	Tc00.1047053413859.10
TcCLB.413893.10	Tc00.1047053413893.10
TcCLB.413903.10	Tc00.1047053413903.10
TcCLB.413903.20	Tc00.1047053413903.20
TcCLB.413977.10	Tc00.1047053413977.10
TcCLB.414145.9	Tc00.1047053414145.9
TcCLB.414175.10	Tc00.1047053414175.10
TcCLB.414211.10	Tc00.1047053414211.10
TcCLB.414211.20	Tc00.1047053414211.20
TcCLB.414211.30	Tc00.1047053414211.30
TcCLB.414211.40	Tc00.1047053414211.40
TcCLB.414243.10	Tc00.1047053414243.10
TcCLB.414243.20	Tc00.1047053414243.20
