UNIPROTKB GENES
Q4DTX9 Tc00.1047053509233.160
Q4CQJ5 Tc00.1047053467287.10
Q4CNH2 Tc00.1047053507763.30; Tc00.1047053510101.490
Q4D4Y5 Tc00.1047053508533.40
Q4DZ91 Tc00.1047053504105.210
Q4DLX3 Tc00.1047053506753.170
Q7Z1V1 CYP51 Tc00.1047053506297.260 Tc00.1047053510101.50
Q4DBV7 Tc00.1047053510357.70
Q4D3B7 Tc00.1047053511393.79
Q4DER6 Tc00.1047053505071.119
Q4DW94 Tc00.1047053506989.140
Q4D248 Tc00.1047053503811.60
Q4DKQ5 FEN1 Tc00.1047053511867.110
Q4DKF7 Tc00.1047053503697.90
Q4E097 EIF6 Tc00.1047053506679.70
Q4E162 Tc00.1047053511585.190
Q4DCH3 JBP2 Tc00.1047053508859.74
Q4DBX5 Tc00.1047053504103.6
Q4DRX4 Tc00.1047053508307.184
Q4DLX9 JBP1B Tc00.1047053506753.120
Q4DBW3 JBP1A Tc00.1047053510357.10
Q4DYL7 Tc00.1047053506211.10
Q4DC43 Tc00.1047053511291.30
Q4CY36 Tc00.1047053503971.40
Q4CUM2 Tc00.1047053510353.10
Q4D6B2 Tc00.1047053508269.30
Q4E123 Tc00.1047053506247.320
Q4DJ07 Tc00.1047053511287.49
Q4E657 pfk Tc00.1047053508153.340
Q4DA80 PA45-A Tc00.1047053506795.80
Q4CWX1 Tc00.1047053508731.60
Q868H8 PA45-B Tc00.1047053430737.10 Tc00.1047053509935.29
Q4DLT6 Tc00.1047053509683.80
Q4D3W2 pyr4 tcdhod2 Tc00.1047053508375.50
Q4CTY5 Tc00.1047053511881.30
Q4E4I4 Tc00.1047053506885.124
Q4DHA1 Tc00.1047053511285.50
Q4DZP2 RPL18 Tc00.1047053504147.20
Q4D2R9 Tc00.1047053503635.59; Tc00.1047053503635.68
Q4DZ41 Tc00.1047053511001.9; Tc00.1047053511001.18
Q4D7L5 Tc00.1047053509453.60
Q9GT49 TRS TryS Tc00.1047053509099.50 Tc00.1047053509319.90
Q4CNL4 Tc00.1047053503473.20
Q4DPN8 Tc00.1047053506743.170
Q4D4I8 Tc00.1047053508445.90 Tc00.1047053511715.90
Q4CZ18 Tc00.1047053508741.100 Tc00.1047053511685.50
Q4CVT7 Tc00.1047053508741.140 Tc00.1047053509137.30
Q4DAC7 EB1 Tc00.1047053506145.20
Q4D0S1 Tc00.1047053509231.39 Tc00.1047053509719.69
Q4CW22 Tc00.1047053504001.20 Tc00.1047053504089.70
Q4D439 Tc00.1047053503999.50 Tc00.1047053509591.10
Q4D1H8 Tc00.1047053504069.30 Tc00.1047053511145.20
Q4DJ29 Tc00.1047053504797.14 Tc00.1047053511577.104
Q4D4K0 Tc00.1047053503885.70 Tc00.1047053511903.270
Q4CTW4 Tc00.1047053504179.20 Tc00.1047053507825.10
Q4DHF0 Tc00.1047053509065.60 Tc00.1047053509065.70
Q4DVC6 Tc00.1047053506573.81 Tc00.1047053511217.145
Q4CQU7 Tc00.1047053505023.40 Tc00.1047053507437.10
Q4DT46 Tc00.1047053511621.200 Tc00.1047053511621.70
Q4DEL1 Tc00.1047053507941.150 Tc00.1047053507941.160 Tc00.1047053507941.170 Tc00.1047053508203.20 Tc00.1047053508203.29 Tc00.1047053508203.38 Tc00.1047053508203.47 Tc00.1047053508203.56 Tc00.1047053510351.11 Tc00.1047053510351.20 Tc00.1047053510351.31
Q4DPS5 Tc00.1047053507047.120 Tc00.1047053509179.140
Q4CYK5 Tc00.1047053503613.20 Tc00.1047053511165.70
Q4DDN8 Tc00.1047053507811.60 Tc00.1047053511649.130
Q4DAT0 Tc00.1047053508409.270 Tc00.1047053510143.80
Q4DXV5 Tc00.1047053510719.30 Tc00.1047053510719.35
Q4D0D9 Tc00.1047053505993.30 Tc00.1047053507555.50
Q4DMK9 Tc00.1047053504021.109 Tc00.1047053507677.39 Tc00.1047053509353.30
Q4CYU3 Tc00.1047053506983.39 Tc00.1047053506983.48
Q4CPY1 Tc00.1047053503505.10 Tc00.1047053510267.20
Q4CTD6 ARPC5 Tc00.1047053511635.30
Q4CSW4 Tc00.1047053507013.30 Tc00.1047053510659.100
Q4DFB0 Tc00.1047053508209.100 Tc00.1047053508209.90 Tc00.1047053509505.30 Tc00.1047053509505.70
Q4D2P8 Tc00.1047053507005.70 Tc00.1047053507011.50
Q4D2H9 Tc00.1047053507255.63 Tc00.1047053508805.136
Q4D8B5 ARPC4 Tc00.1047053509127.104
Q4DCY4 Tc00.1047053507357.140 Tc00.1047053507357.50
Q4CRM4 Tc00.1047053503625.10 Tc00.1047053503899.90
Q4CTR1 Tc00.1047053504011.70 Tc00.1047053511049.30
Q4CRN6 Tc00.1047053506491.10 Tc00.1047053510247.20
Q4CUZ5 Tc00.1047053506041.20 Tc00.1047053508267.30 Tc00.1047053508267.50
Q4DDA3 Tc00.1047053506517.149 Tc00.1047053508909.214
Q4DQ26 Arp6 Tc00.1047053510121.30
Q4CRJ8 Tc00.1047053509645.10 Tc00.1047053509733.190
Q4D491 Tc00.1047053504741.149 Tc00.1047053509317.29
Q4D9E1 Tc00.1047053506469.30 Tc00.1047053506469.80
Q4D445 Tc00.1047053506147.220 Tc00.1047053510733.20
Q4CN92 Tc00.1047053506423.20 Tc00.1047053510621.70
Q4CVR5 Tc00.1047053487507.10 Tc00.1047053505983.9 Tc00.1047053509445.10
Q4DEF3 Tc00.1047053508677.80 Tc00.1047053509331.210
Q4D1V1 Tc00.1047053511313.30
Q4DVF4 Tc00.1047053506859.249 Tc00.1047053511817.30
Q4CMC0 Tc00.1047053504141.20 Tc00.1047053509777.80
Q4DLA7 Tc00.1047053508293.90 Tc00.1047053510625.140
Q4DGH7 Tc00.1047053507949.29 Tc00.1047053511423.149
Q4CXT8 Tc00.1047053509177.59 Tc00.1047053511303.64
Q4D4I9 Tc00.1047053508445.80 Tc00.1047053511715.80
Q4D2K4 Tc00.1047053503919.20 Tc00.1047053508209.50
Q4D5N8 Tc00.1047053503891.54 Tc00.1047053510289.6
Q4CVG3 Tc00.1047053507873.60 Tc00.1047053510691.10
Q4D0B9 Tc00.1047053511047.50 Tc00.1047053511859.180
Q4DHW9 Tc00.1047053506661.150 Tc00.1047053511245.20
Q4DHA9 Tc00.1047053506779.50 Tc00.1047053511153.140
Q4DA48 Tc00.1047053507019.83 Tc00.1047053507019.86
Q4D3M9 Tc00.1047053507145.79 Tc00.1047053507145.88 Tc00.1047053507217.14 Tc00.1047053507217.44
Q4CUY7 Tc00.1047053509215.16 Tc00.1047053510259.18
Q4D6A5 Tc00.1047053506781.10 Tc00.1047053510623.10
Q4D083 ALP3 Tc00.1047053503841.40
Q4DKJ4 Tc00.1047053511599.110 Tc00.1047053511603.20
Q4DQ49 Tc00.1047053508323.60 Tc00.1047053508323.70 Tc00.1047053511825.40 Tc00.1047053511825.50
Q4DHJ6 CapZ-alpha Tc00.1047053506181.90
Q4D0Y4 Tc00.1047053507159.60 Tc00.1047053507159.80
Q4DL86 Tc00.1047053508965.94 Tc00.1047053509007.14
Q4D9J1 Tc00.1047053506857.90 Tc00.1047053509207.160
Q4DN73 Tc00.1047053506963.14 Tc00.1047053511233.14 Tc00.1047053511277.175
Q4DML2 Tc00.1047053504021.80 Tc00.1047053507677.70
Q4CSR9 Tc00.1047053506419.30 Tc00.1047053510597.20
Q4DHT0 CapZ-alpha Tc00.1047053506177.120
Q4CV26 Tc00.1047053507989.20 Tc00.1047053509243.50 Tc00.1047053510063.10
Q4CRF6 Tc00.1047053511367.370 Tc00.1047053511369.20
Q4CXR4 Tc00.1047053506025.14 Tc00.1047053511209.54 Tc00.1047053511805.15
Q4E5A0 Tc00.1047053506559.300
Q4D456 Tc00.1047053511229.39 Tc00.1047053511589.190
Q4CTE9 Tc00.1047053506337.90 Tc00.1047053510717.20
Q4DBE4 Tc00.1047053508613.30 Tc00.1047053509979.14
Q4DHL3 Srv2 Tc00.1047053504137.80
Q4CQ10 Tc00.1047053506657.79 Tc00.1047053511247.18
Q4CZL0 Tc00.1047053508711.30 Tc00.1047053509067.40
Q4DN94 Tc00.1047053508541.230 Tc00.1047053508541.240
Q4D0Y6 Tc00.1047053506199.5 Tc00.1047053507159.44 Tc00.1047053507159.65 Tc00.1047053507159.90
Q4DGB1 Tc00.1047053506475.116 Tc00.1047053511431.40
Q4CQQ9 Tc00.1047053508277.120 Tc00.1047053509943.30
Q4CX02 Tc00.1047053508661.34 Tc00.1047053510293.54
Q4DBU9 Tc00.1047053510357.150 Tc00.1047053510359.10
Q4CKV3 Tc00.1047053469435.4 Tc00.1047053508257.104
Q4DJZ6 Tc00.1047053506945.290 Tc00.1047053509671.70
Q4D6W0 Tc00.1047053510525.110 Tc00.1047053510525.90
Q4D604 Tc00.1047053506817.30 Tc00.1047053506817.50
Q4DEG3 Tc00.1047053503879.30 Tc00.1047053509455.50
