geneids	uniprotids
TcCLB.397923.10	Q4CLM4
TcCLB.397937.10	Q4CL83
TcCLB.397937.5	Q4CL84
TcCLB.398235.10	Q4CK97
TcCLB.398235.20	Q4CK96
TcCLB.398265.9	Q4CL90
TcCLB.398343.9	Q4CLV4
TcCLB.398345.10	Q4CKP6
TcCLB.398477.10	Q4CPW8
TcCLB.398751.10	Q4CK94
TcCLB.399033.10	Q4CMA8
TcCLB.399033.19	Q4CMA7
TcCLB.399245.9	Q4CKA5
TcCLB.399373.20	Q4CQP9
TcCLB.399373.9	Q4CQQ0
TcCLB.399389.10	Q4CTP8
TcCLB.399997.10	Q4CKU7
TcCLB.400739.10	Q4CKR4
TcCLB.401469.10	Q4CLW6
TcCLB.401469.20	Q4CLW5
TcCLB.401473.9	Q4CKJ3
TcCLB.401569.10	Q4CL29
TcCLB.401961.10	Q4CKN8
TcCLB.402647.9	Q4CKG7
TcCLB.402857.10	Q4CPL9
TcCLB.402857.20	Q4CPL8
TcCLB.402863.9	Q4CQ22
TcCLB.402919.10	Q4CKZ3
TcCLB.403789.9	Q4CK99
TcCLB.403875.10	Q4CME6
TcCLB.403875.19	Q4CME5
TcCLB.403985.10	Q4CKQ5
TcCLB.404001.10	Q4CX62
TcCLB.404001.20	Q4CX61
TcCLB.404001.4	Q4CX63
TcCLB.404073.10	Q4CKK5
TcCLB.404073.20	Q4CKK4
TcCLB.404431.10	Q4CL45
TcCLB.404843.10	Q4CMR0
TcCLB.404843.20	Q4CMQ9
TcCLB.405025.10	Q4CKW8
TcCLB.405165.10	Q4CLC9
TcCLB.405165.19	Q4CLC8
TcCLB.405179.10	Q4CKA2
TcCLB.405453.9	Q4CMR5
TcCLB.405737.14	Q4CLA5
TcCLB.405737.24	Q4CLA4
TcCLB.405737.4	Q4CLA6
TcCLB.406933.10	Q4CL34
TcCLB.406999.10	Q4CL82
TcCLB.407335.18	Q4CLD1
TcCLB.407335.9	Q4CLD2
TcCLB.407477.10	Q4CSY6
TcCLB.407477.20	Q4CSY5
TcCLB.407477.30	Q4CSY4
TcCLB.407477.40	Q4CSY3
TcCLB.407477.44	Q4CSY2
TcCLB.407477.50	Q4CSY1
TcCLB.407477.60	Q4CSY0
TcCLB.407477.69	Q4CSX9
TcCLB.408345.10	Q4CL23
TcCLB.408345.20	Q4CL22
TcCLB.408437.10	Q4CPU4
TcCLB.408437.20	Q4CPU3
TcCLB.408437.29	Q4CPU2
TcCLB.408445.10	Q4CKZ6
TcCLB.408547.10	Q4CLK6
TcCLB.408547.5	Q4CLK7
TcCLB.408573.5	Q4CLN9
TcCLB.408573.9	Q4CLN8
TcCLB.408799.10	Q4CLD9
TcCLB.408799.19	Q4CLD8
TcCLB.408825.5	Q4CKM4
TcCLB.409101.9	Q4CKA6
TcCLB.409117.10	Q4CMJ0
TcCLB.409117.20	Q4D6I5
TcCLB.409139.9	Q4CL57
TcCLB.410049.10	Q4CLK2
TcCLB.410049.20	Q4CLK1
TcCLB.410199.10	Q4CRH1
TcCLB.410199.20	Q4CRH0
TcCLB.410199.30	Q4CRG9
TcCLB.410199.4	Q4CRH3
TcCLB.410199.40	Q4CRG8
TcCLB.410199.50	Q4CRG7
TcCLB.410199.7	Q4CRH2
TcCLB.410243.10	Q4CKA3
TcCLB.410275.9	Q4CM69
TcCLB.410589.10	Q4CLL4
TcCLB.410589.19	Q4CLL3
TcCLB.410797.10	Q4CQA7
TcCLB.410923.20	Q4CS11
TcCLB.410923.30	Q4CS10
TcCLB.410943.10	Q4CKB8
TcCLB.410961.10	Q4CL16
TcCLB.411235.9	Q4CLA1
TcCLB.411427.10	Q4CRC0
TcCLB.411427.30	Q4CRB9
TcCLB.411427.40	Q4CRB8
TcCLB.411427.49	Q4CRB7
TcCLB.412435.10	Q4CKG1
TcCLB.412509.10	Q4CKR2
TcCLB.412723.9	Q4CST2
TcCLB.412943.9	Q4CKQ7
TcCLB.413293.20	Q4CQB6
TcCLB.413293.9	Q4CQB7
TcCLB.413605.10	Q4CMP8
TcCLB.413859.10	Q4CKC7
TcCLB.413977.10	Q4CKW4
TcCLB.414145.9	Q4CKL2
TcCLB.414243.10	Q4CMY3
TcCLB.414243.20	Q4CMY2
TcCLB.414243.29	Q4CMY1
TcCLB.414517.9	Q4CKC2
TcCLB.414661.9	Q4CKX6
TcCLB.415187.10	Q4CRQ5
TcCLB.415187.19	Q4CKI5
TcCLB.415789.9	Q4CQB2
TcCLB.415803.10	Q4CKL6
TcCLB.416041.14	Q4CTI7
TcCLB.416143.10	Q4CK98
TcCLB.416511.9	Q4CL66
TcCLB.416605.10	Q4CQD2
TcCLB.416605.15	Q4CQD1
TcCLB.416605.30	Q4CQD0
TcCLB.416735.10	Q4CKV1
TcCLB.416761.10	Q4CNI9
TcCLB.416809.10	Q4CSZ5
TcCLB.416883.18	Q4CKY8
TcCLB.416883.9	Q4CKY9
TcCLB.416891.19	Q4CL53
TcCLB.416891.9	Q4CL54
TcCLB.417091.10	Q4CL85
TcCLB.417203.9	Q4CLL0
TcCLB.417797.9	Q4CKC0
TcCLB.417939.9	Q4CL58
TcCLB.418069.10	Q4CK86
TcCLB.418113.9	Q4CKJ2
TcCLB.418185.70	Q4D055
TcCLB.418185.90	Q4D054
TcCLB.418221.10	Q4CPH0
TcCLB.418221.20	Q4CPG9
TcCLB.418221.30	Q4CPG8
TcCLB.418221.4	Q4CPH1
TcCLB.418405.10	Q4CN07
TcCLB.418405.30	Q4CN06
TcCLB.418613.20	Q4CKR5
TcCLB.419043.10	Q4CLE3
TcCLB.419207.9	Q4CL02
TcCLB.419417.10	Q4CMD5
TcCLB.419417.19	Q4CMD4
TcCLB.419417.4	Q4CMD6
TcCLB.419469.14	Q4CNL8
TcCLB.419469.30	Q4CNL7
TcCLB.419637.9	Q4CKR6
TcCLB.419703.10	Q4CL93
TcCLB.419703.20	Q4CL92
TcCLB.419833.10	Q4CKH3
TcCLB.420091.10	Q4CKF5
TcCLB.420293.20	Q4CVS4
TcCLB.420293.31	Q4CVS3
TcCLB.420369.40	Q4CVC3
TcCLB.420533.9	Q4CKH4
TcCLB.420719.9	Q4CKV8
TcCLB.420989.10	Q4CLF7
TcCLB.421057.10	Q4CKU4
TcCLB.421057.20	Q4CKU3
TcCLB.421173.14	Q4CP98
TcCLB.421173.4	Q4CP99
TcCLB.421231.10	Q4CLB4
TcCLB.421321.9	Q4CLK0
TcCLB.421555.9	Q4CKT1
TcCLB.421619.10	Q4CLW2
TcCLB.421621.50	Q4CRD8
TcCLB.421959.10	Q4CKC1
TcCLB.422031.10	Q4CKD3
TcCLB.422041.9	Q4CLW7
TcCLB.422189.10	Q4CLN0
TcCLB.422189.20	Q4CLM9
TcCLB.422207.10	Q4CKL1
