geneids	refseqids
TcCLB.397923.10	XP_802622
TcCLB.397937.10	XP_802481
TcCLB.397937.5	XP_802482
TcCLB.398235.10	XP_802144
TcCLB.398235.20	XP_802145
TcCLB.398265.9	XP_802488
TcCLB.398343.9	XP_802702
TcCLB.398345.10	XP_802294
TcCLB.398477.10	XP_804171
TcCLB.398751.10	XP_802142
TcCLB.399033.10	XP_802855
TcCLB.399033.19	XP_802856
TcCLB.399245.9	XP_802153
TcCLB.399373.20	XP_804452
TcCLB.399373.9	XP_804453
TcCLB.399389.10	XP_805501
TcCLB.399997.10	XP_802345
TcCLB.400739.10	XP_802312
TcCLB.401469.10	XP_802713
TcCLB.401469.20	XP_802714
TcCLB.401473.9	XP_802241
TcCLB.401569.10	XP_802427
TcCLB.401961.10	XP_802286
TcCLB.402647.9	XP_802215
TcCLB.402857.10	XP_804071
TcCLB.402857.20	XP_804072
TcCLB.402863.9	XP_804225
TcCLB.402919.10	XP_802391
TcCLB.403789.9	XP_802147
TcCLB.403875.10	XP_802893
TcCLB.403875.19	XP_802894
TcCLB.403985.10	XP_802303
TcCLB.404001.10	XP_806714
TcCLB.404001.20	XP_806715
TcCLB.404001.4	XP_806716
TcCLB.404073.10	XP_802252
TcCLB.404073.20	XP_802253
TcCLB.404431.10	XP_802443
TcCLB.404843.10	XP_803007
TcCLB.404843.20	XP_803008
TcCLB.405025.10	XP_802366
TcCLB.405165.10	XP_802526
TcCLB.405165.19	XP_802527
TcCLB.405179.10	XP_802150
TcCLB.405453.9	XP_803013
TcCLB.405737.14	XP_802503
TcCLB.405737.24	XP_802504
TcCLB.405737.4	XP_802502
TcCLB.406933.10	XP_802432
TcCLB.406999.10	XP_802480
TcCLB.407335.18	XP_802529
TcCLB.407335.9	XP_802530
TcCLB.407477.10	XP_805232
TcCLB.407477.20	XP_805233
TcCLB.407477.30	XP_805234
TcCLB.407477.40	XP_805235
TcCLB.407477.44	XP_805238
TcCLB.407477.50	XP_805236
TcCLB.407477.60	XP_805237
TcCLB.407477.69	XP_805239
TcCLB.408345.10	XP_802421
TcCLB.408345.20	XP_802420
TcCLB.408437.10	XP_804145
TcCLB.408437.20	XP_804146
TcCLB.408437.29	XP_804147
TcCLB.408445.10	XP_802394
TcCLB.408547.10	XP_802604
TcCLB.408547.5	XP_802605
TcCLB.408573.5	XP_802637
TcCLB.408573.9	XP_802636
TcCLB.408799.10	XP_802536
TcCLB.408799.19	XP_802537
TcCLB.408825.5	XP_802272
TcCLB.409101.9	XP_802154
TcCLB.409117.10	XP_802937
TcCLB.409117.20	XP_802938
TcCLB.409139.9	XP_802455
TcCLB.410049.10	XP_802599
TcCLB.410049.20	XP_802600
TcCLB.410199.10	XP_804720
TcCLB.410199.20	XP_804721
TcCLB.410199.30	XP_804722
TcCLB.410199.4	XP_804725
TcCLB.410199.40	XP_804723
TcCLB.410199.50	XP_804724
TcCLB.410199.7	XP_804726
TcCLB.410243.10	XP_802151
TcCLB.410275.9	XP_802817
TcCLB.410589.10	XP_802611
TcCLB.410589.19	XP_802612
TcCLB.410797.10	XP_804310
TcCLB.410923.20	XP_804913
TcCLB.410923.30	XP_804914
TcCLB.410943.10	XP_802166
TcCLB.410961.10	XP_802414
TcCLB.411235.9	XP_802499
TcCLB.411427.10	XP_804670
TcCLB.411427.30	XP_804671
TcCLB.411427.40	XP_804672
TcCLB.411427.49	XP_804673
TcCLB.412435.10	XP_802209
